〇	981
䰾	450
䲁	342
䴉	400
一	135314
丁	4862
丂	450
七	7236
丄	679
丅	671
丆	610
万	1325
丈	1033
三	27727
上	285526
下	164421
丌	531
不	590801
丏	332
丐	747
丑	3391
丒	399
且	13038
丕	775
世	4115
丗	710
丘	1458
丙	1420
丞	883
丟	6453
丠	495
両	542
丣	305
並	63101
丨	829
丩	377
丫	6079
丬	564
中	243870
丮	455
丯	373
丰	771
丱	370
串	2189
丳	274
丵	228
丶	900
丷	595
丸	1817
丹	3242
主	11740
丼	473
丿	735
乀	497
乁	464
乂	611
乃	4485
乄	629
久	8974
乆	563
乇	688
么	10026
乊	394
之	50505
乍	1145
乎	2093
乏	1065
乑	307
乒	708
乓	637
乕	412
乖	19261
乗	514
乘	3231
乙	2457
乚	386
乛	645
乜	3053
九	6115
乞	858
也	404779
乢	335
乣	377
乤	245
乥	404
乧	494
乨	328
乩	596
乪	243
乫	307
乭	301
乳	1882
乴	262
乵	261
乶	249
乷	397
乸	519
乹	266
乺	252
乼	217
乾	6347
乿	460
亀	519
亁	393
亂	13475
亃	311
亄	368
亅	536
了	1512483
亇	630
予	1900
亊	609
事	39845
二	21289
亍	675
于	2871
亐	465
云	2141
互	2008
亓	719
五	13802
井	2864
亖	479
亗	412
亙	639
些	22871
亜	597
亝	268
亞	5009
亟	642
亠	493
亡	1500
亢	806
亣	469
交	15564
亥	825
亦	6363
亨	1175
亪	320
享	1385
京	3214
亭	2147
亮	5238
亯	322
亰	454
亱	518
亳	599
亴	382
亶	504
亷	318
亹	443
人	250956
亻	656
亼	758
亽	654
亾	641
什	1847
仁	3200
仂	725
仃	531
仄	844
仆	677
仇	1505
仈	477
仉	479
今	4961
介	1885
仌	537
仍	9624
仏	448
仐	409
仒	491
仔	3393
仕	1521
他	344401
仗	1273
付	6901
仙	3611
仚	369
仛	416
仜	252
仝	668
仞	642
仟	820
仠	402
仡	526
仢	261
代	6407
令	8637
以	101238
仦	515
仧	470
仨	979
仩	631
仫	501
仭	394
仮	528
仯	508
仰	1160
仱	390
仲	4114
仳	496
仴	545
仵	554
件	8211
价	794
仸	406
仹	330
仺	453
任	8722
仼	472
份	7307
仾	295
仿	1664
伀	421
企	2009
伂	246
伃	386
伄	344
伅	475
伆	403
伇	252
伈	634
伉	481
伊	4667
伋	452
伌	280
伍	1830
伎	709
伏	1600
伐	11441
休	2916
伒	384
伓	387
伔	345
伕	50
伖	512
伙	843
伜	283
伝	595
伢	725
伨	324
伬	354
伭	326
伮	396
伯	2435
估	1122
伱	807
伲	565
伳	350
伴	2455
伵	231
伶	833
伷	370
伸	1756
伹	337
伺	681
伻	269
似	4743
伽	1056
伾	457
伿	442
佀	421
佁	348
佂	371
佃	608
佄	513
佅	255
但	116404
佇	623
佈	1323
佉	589
佊	368
佋	305
佌	479
位	14967
低	16647
住	22827
佐	2661
佑	1357
佒	277
佔	10810
何	7552
佖	368
佗	620
佘	930
余	2184
佚	677
佛	4974
作	20186
佝	500
佞	577
佟	1110
你	972978
佡	466
佢	3707
佣	641
佤	597
佧	525
佩	1665
佪	7
佫	400
佬	1424
佭	280
佮	389
佯	660
佰	973
佱	352
佲	487
佳	3831
佴	479
併	17967
佶	595
佷	701
佸	580
佹	538
佺	577
佻	496
佼	598
佽	603
佾	518
使	35310
侀	488
侁	386
侂	386
侃	1234
侄	749
侅	392
來	235090
侇	300
侈	563
